trial_id,start_time,stop_time,trial_length,initial_image,change_image,is_change,is_go,is_catch,change_time,response_time,reward_time,reward_volume,hit,miss,false_alarm,correct_rejection,aborted,auto_rewarded,response_lick,correct,outcome,reaction_time
56,275.00413,278.30666,3.302530000000047,im114_r,im114_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
57,278.75702,286.78053,8.023509999999987,im114_r,im111_r,1,1,0,282.51055,283.11156,283.11156,0.003,1,0,0,0,0,0,1,1,hit,0.6010099999999738
58,287.01384,290.16708,3.1532399999999825,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
59,290.76712,298.04021,7.273090000000025,im111_r,im111_r,0,0,1,293.76947,294.92003,,0.0,0,0,0,1,0,0,0,1,correct_rejection,1.1505599999999845
60,298.2732,301.39268,3.11948000000001,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
61,302.02662,305.42966,3.4030400000000327,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
62,305.77967,313.06912,7.289449999999988,im111_r,im005_r,1,1,0,308.79929,310.79994,,0.0,0,1,0,0,0,0,0,0,miss,2.0006500000000074
63,313.30235,314.97067,1.6683199999999943,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
64,315.55453,322.74403,7.1895000000000095,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
65,323.06085,334.83738,11.77652999999998,im005_r,im005_r,0,0,1,330.56692,,,0.0,0,0,0,1,0,0,0,1,correct_rejection,
66,335.07057,335.75462,0.6840500000000134,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
67,335.82136,343.09419,7.272829999999999,im005_r,im024_r,1,1,0,338.82431,339.74087,,0.0,0,1,0,0,0,0,0,0,miss,0.9165599999999472
68,343.32744,350.60054,7.2730999999999995,im024_r,im005_r,1,1,0,346.33081,346.98051,346.99797,0.003,1,0,0,0,0,0,1,1,hit,0.6496999999999957
69,350.83378,353.36939,2.5356100000000197,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
70,353.83638,357.85666,4.020279999999957,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
71,358.34029,366.36383,8.023540000000025,im005_r,im111_r,1,1,0,362.09374,362.67767,362.67767,0.003,1,0,0,0,0,0,1,1,hit,0.5839299999999525
72,366.5969,370.35107,3.754169999999988,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
73,370.35107,370.83405,0.48297999999999774,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
74,371.10096,379.12429,8.023329999999987,im111_r,im104_r,1,1,0,374.8543,,,0.0,0,1,0,0,0,0,0,0,miss,
75,379.35794,380.07504,0.7171000000000163,im104_r,im104_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
76,380.10871,387.38152,7.2728100000000495,im104_r,im087_r,1,1,0,383.1112,385.66248,,0.0,0,1,0,0,0,0,0,0,miss,2.5512800000000198
77,387.61481,389.26614,1.65133000000003,im087_r,im087_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
78,389.86647,393.11938,3.2529099999999858,im087_r,im087_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
79,393.61973,395.87236,2.2526300000000106,im087_r,im087_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
80,395.87236,400.62552,4.75315999999998,im087_r,im087_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
81,401.14282,403.56133,2.418510000000026,im087_r,im087_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
82,404.14517,409.48302,5.337850000000003,im087_r,im087_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
83,410.15028,417.42305,7.27276999999998,im087_r,im114_r,1,1,0,413.15315,413.72045,413.72045,0.003,1,0,0,0,0,0,1,1,hit,0.5673000000000457
84,417.65621,421.39284,3.736629999999991,im114_r,im114_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
85,421.40957,424.41272,3.003150000000005,im114_r,im114_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
86,424.41272,425.37971,0.9669900000000098,im114_r,im114_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
87,425.91336,427.4982,1.5848399999999856,im114_r,im114_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
88,428.16521,430.31691,2.1517000000000053,im114_r,im114_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
89,430.41707,438.42401,8.006939999999986,im114_r,im114_r,0,0,1,434.16965,,,0.0,0,0,0,1,0,0,0,1,correct_rejection,
90,438.67378,446.6974,8.023619999999994,im114_r,im087_r,1,1,0,442.42747,444.76194,,0.0,0,1,0,0,0,0,0,0,miss,2.3344699999999534
91,446.93069,455.68837,8.757679999999993,im087_r,im034_r,1,1,0,451.4353,,,0.0,0,1,0,0,0,0,0,0,miss,
92,455.93868,457.4401,1.501419999999996,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
93,457.4401,465.46314,8.023040000000037,im034_r,im087_r,1,1,0,461.19304,463.04381,,0.0,0,1,0,0,0,0,0,0,miss,1.8507700000000114
94,465.69642,472.95268,7.2562599999999975,im087_r,im005_r,1,1,0,468.6994,469.13329,469.13329,0.003,1,0,0,0,0,0,1,1,hit,0.4338899999999626
95,473.20265,475.25455,2.051899999999989,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
96,475.45482,479.39148,3.9366600000000176,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
97,479.95847,482.89429,2.935820000000035,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
98,482.96093,486.01351,3.0525799999999776,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
99,486.71431,494.73759,8.02328,im005_r,im114_r,1,1,0,490.46765,490.885,490.885,0.003,1,0,0,0,0,0,1,1,hit,0.417349999999999
100,494.97072,497.32298,2.352260000000001,im114_r,im114_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
101,497.97355,502.21043,4.236879999999985,im114_r,im114_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
102,502.47734,511.25137,8.774029999999982,im114_r,im034_r,1,1,0,506.98164,507.53233,507.53233,0.003,1,0,0,0,0,0,1,1,hit,0.5506899999999746
103,511.48465,512.63581,1.1511600000000044,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
104,512.98608,516.05532,3.069240000000036,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
105,516.73921,518.32423,1.5850199999999859,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
106,518.99127,522.87764,3.8863700000000563,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
107,523.4949,532.26917,8.774270000000001,im034_r,im114_r,1,1,0,527.99884,528.41626,528.41626,0.003,1,0,0,0,0,0,1,1,hit,0.4174199999999928
108,532.50224,540.52586,8.023619999999937,im114_r,im024_r,1,1,0,536.25618,536.62303,536.62303,0.003,1,0,0,0,0,0,1,1,hit,0.36684999999999945
109,540.75912,541.15946,0.40033999999991465,im024_r,im024_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
110,541.51048,544.86273,3.3522500000000264,im024_r,im024_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
111,545.263,548.98286,3.719859999999926,im024_r,im024_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
112,549.01608,552.90304,3.8869600000000446,im024_r,im024_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
113,553.51992,555.0713,1.5513799999999947,im024_r,im024_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
114,555.77185,563.79522,8.02337,im024_r,im034_r,1,1,0,559.52548,559.89283,559.89283,0.003,1,0,0,0,0,0,1,1,hit,0.36734999999998763
115,564.02859,566.21376,2.185169999999971,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
116,566.28057,567.81524,1.5346700000000055,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
117,568.53267,575.80543,7.272759999999948,im034_r,im111_r,1,1,0,571.53534,572.61872,,0.0,0,1,0,0,0,0,0,0,miss,1.0833800000000338
118,576.03858,580.75935,4.720770000000016,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
119,581.29326,582.81105,1.5177899999999909,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
120,583.54543,592.31906,8.773630000000026,im111_r,im083_r,1,1,0,588.0493,588.46675,588.46675,0.003,1,0,0,0,0,0,1,1,hit,0.41745000000003074
121,592.55245,594.03596,1.4835100000000239,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
122,594.05413,601.31195,7.257820000000038,im083_r,im034_r,1,1,0,597.05658,597.44045,597.44045,0.003,1,0,0,0,0,0,1,1,hit,0.3838700000000017
123,601.55983,603.3466,1.7867699999999331,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
124,603.81401,606.9832,3.1691899999999578,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
125,607.56727,614.83992,7.272649999999999,im034_r,im083_r,1,1,0,610.56994,610.92105,610.92105,0.003,1,0,0,0,0,0,1,1,hit,0.3511100000000624
126,615.07111,618.00916,2.9380499999999756,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
127,618.07591,625.34859,7.272679999999923,im083_r,im087_r,1,1,0,621.07861,621.4264,621.44593,0.003,1,0,0,0,0,0,1,1,hit,0.3477899999999181
128,625.58025,627.0844,1.5041499999999814,im087_r,im087_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
129,627.0844,631.0026,3.91820000000007,im087_r,im087_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
130,631.58634,634.95607,3.369730000000004,im087_r,im087_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
