unit_id,outcome,mean_baseline_rate_hz,mean_response_rate_hz,n_trials,mean_evoked_rate_hz
1126285144,hit,16.355555555555554,27.42222222222222,135,11.066666666666666
1126285144,miss,14.209302325581396,20.930232558139537,86,6.720930232558141
1126285145,hit,1.7481481481481482,3.111111111111111,135,1.362962962962963
1126285145,miss,1.9767441860465116,1.6511627906976745,86,-0.3255813953488371
1126285146,hit,11.25925925925926,20.488888888888887,135,9.229629629629628
1126285146,miss,12.930232558139535,18.25581395348837,86,5.325581395348836
1126285149,hit,3.2,8.666666666666666,135,5.466666666666666
1126285149,miss,3.7906976744186047,8.837209302325581,86,5.046511627906977
1126285150,hit,5.318518518518519,3.5407407407407407,135,-1.7777777777777781
1126285150,miss,6.813953488372093,4.6976744186046515,86,-2.116279069767441
1126285152,hit,14.592592592592593,16.16296296296296,135,1.5703703703703678
1126285152,miss,14.372093023255815,12.581395348837209,86,-1.790697674418606
1126285153,hit,2.785185185185185,1.7185185185185186,135,-1.0666666666666667
1126285153,miss,3.9767441860465116,3.0697674418604652,86,-0.9069767441860463
1126285158,hit,0.8148148148148148,4.503703703703704,135,3.688888888888889
1126285158,miss,1.441860465116279,3.6744186046511627,86,2.2325581395348837
1126285162,hit,1.451851851851852,2.3555555555555556,135,0.9037037037037037
1126285162,miss,1.7906976744186047,1.744186046511628,86,-0.04651162790697683
1126285163,hit,1.5703703703703704,2.6814814814814816,135,1.1111111111111112
1126285163,miss,1.8372093023255813,3.13953488372093,86,1.3023255813953487
1126285164,hit,4.044444444444444,8.829629629629629,135,4.785185185185185
1126285164,miss,5.790697674418604,10.325581395348838,86,4.5348837209302335
1126285166,hit,2.237037037037037,4.296296296296297,135,2.05925925925926
1126285166,miss,2.186046511627907,2.8372093023255816,86,0.6511627906976747
1126285168,hit,0.5185185185185185,1.9703703703703703,135,1.4518518518518517
1126285168,miss,0.6511627906976745,1.6511627906976745,86,1.0
1126285170,hit,3.6296296296296298,7.051851851851852,135,3.4222222222222225
1126285170,miss,3.395348837209302,4.744186046511628,86,1.3488372093023262
1126285171,hit,3.214814814814815,5.762962962962963,135,2.548148148148148
1126285171,miss,3.3488372093023258,6.069767441860465,86,2.7209302325581395
1126285172,hit,16.22222222222222,34.91851851851852,135,18.696296296296296
1126285172,miss,11.534883720930232,20.930232558139537,86,9.395348837209305
1126285175,hit,0.7555555555555555,1.2148148148148148,135,0.45925925925925926
1126285175,miss,0.6744186046511628,0.7906976744186046,86,0.11627906976744184
1126285177,hit,2.414814814814815,6.42962962962963,135,4.014814814814814
1126285177,miss,3.488372093023256,5.883720930232558,86,2.395348837209302
1126285178,hit,5.718518518518518,16.266666666666666,135,10.548148148148147
1126285178,miss,6.27906976744186,11.837209302325581,86,5.558139534883721
1126285179,hit,0.4888888888888889,0.6962962962962963,135,0.20740740740740743
1126285179,miss,0.8837209302325582,1.186046511627907,86,0.30232558139534893
1126285180,hit,1.4074074074074074,3.3333333333333335,135,1.925925925925926
1126285180,miss,1.0930232558139534,1.813953488372093,86,0.7209302325581395
